season,home_team_goal,away_team_goal,home_name,away_name
2010/2011,3,0,LOSC Lille,AS Nancy-Lorraine
2010/2011,1,1,Olympique de Marseille,Olympique Lyonnais
2010/2011,1,1,Montpellier Hérault SC,AJ Auxerre
2010/2011,1,1,OGC Nice,Stade Brestois 29
2010/2011,2,2,Paris Saint-Germain,AS Monaco
2010/2011,1,0,Stade Rennais FC,Valenciennes FC
2010/2011,2,0,AS Saint-Étienne,AC Arles-Avignon
2010/2011,1,1,FC Sochaux-Montbéliard,Girondins de Bordeaux
2010/2011,3,0,Toulouse FC,FC Lorient
2010/2011,0,0,AC Arles-Avignon,OGC Nice
2010/2011,2,2,Girondins de Bordeaux,RC Lens
2010/2011,0,0,Stade Brestois 29,Olympique de Marseille
2010/2011,1,0,SM Caen,Stade Rennais FC
2010/2011,1,1,LOSC Lille,AS Saint-Étienne
2010/2011,0,0,FC Lorient,Montpellier Hérault SC
2010/2011,1,1,Olympique Lyonnais,AJ Auxerre
2010/2011,2,1,AS Monaco,FC Sochaux-Montbéliard
2010/2011,2,0,AS Nancy-Lorraine,Paris Saint-Germain
2010/2011,2,1,Valenciennes FC,Toulouse FC
2010/2011,0,1,AC Arles-Avignon,RC Lens
2010/2011,1,2,Girondins de Bordeaux,Toulouse FC
2010/2011,1,1,Stade Brestois 29,AJ Auxerre
2010/2011,3,2,SM Caen,Olympique Lyonnais
2010/2011,0,0,LOSC Lille,Paris Saint-Germain
2010/2011,1,2,FC Lorient,OGC Nice
2010/2011,0,0,AS Monaco,Montpellier Hérault SC
2010/2011,0,3,AS Nancy-Lorraine,Stade Rennais FC
2010/2011,3,2,AS Saint-Étienne,FC Sochaux-Montbéliard
2010/2011,3,2,Valenciennes FC,Olympique de Marseille
2010/2011,1,1,AJ Auxerre,AS Monaco
2010/2011,1,3,Stade Brestois 29,SM Caen
2010/2011,2,1,RC Lens,AS Saint-Étienne
2010/2011,3,0,Olympique Lyonnais,FC Lorient
2010/2011,2,1,Olympique de Marseille,Girondins de Bordeaux
2010/2011,2,1,Montpellier Hérault SC,Valenciennes FC
2010/2011,0,2,OGC Nice,LOSC Lille
2010/2011,2,1,Paris Saint-Germain,FC Sochaux-Montbéliard
2010/2011,4,0,Stade Rennais FC,AC Arles-Avignon
2010/2011,1,0,Toulouse FC,AS Nancy-Lorraine
2010/2011,1,2,AC Arles-Avignon,Paris Saint-Germain
2010/2011,2,0,Girondins de Bordeaux,OGC Nice
2010/2011,2,0,SM Caen,AJ Auxerre
2010/2011,1,0,LOSC Lille,RC Lens
2010/2011,2,0,FC Lorient,Stade Brestois 29
2010/2011,0,0,AS Monaco,Olympique de Marseille
2010/2011,1,2,AS Nancy-Lorraine,Montpellier Hérault SC
2010/2011,2,1,AS Saint-Étienne,Toulouse FC
2010/2011,5,1,FC Sochaux-Montbéliard,Stade Rennais FC
2010/2011,2,1,Valenciennes FC,Olympique Lyonnais
2010/2011,1,1,AJ Auxerre,LOSC Lille
2010/2011,2,1,Stade Brestois 29,AS Nancy-Lorraine
2010/2011,0,2,SM Caen,FC Lorient
2010/2011,1,1,RC Lens,Valenciennes FC
2010/2011,0,0,Olympique Lyonnais,Girondins de Bordeaux
2010/2011,1,0,Olympique de Marseille,AC Arles-Avignon
2010/2011,1,2,Montpellier Hérault SC,AS Saint-Étienne
2010/2011,1,0,OGC Nice,FC Sochaux-Montbéliard
2010/2011,1,0,Stade Rennais FC,Paris Saint-Germain
2010/2011,2,0,Toulouse FC,AS Monaco
2010/2011,0,0,AC Arles-Avignon,Montpellier Hérault SC
2010/2011,1,2,Girondins de Bordeaux,SM Caen
2010/2011,2,0,LOSC Lille,Toulouse FC
2010/2011,3,1,AS Monaco,FC Lorient
2010/2011,3,1,AS Nancy-Lorraine,AJ Auxerre
2010/2011,0,0,Paris Saint-Germain,RC Lens
2010/2011,2,0,Stade Rennais FC,OGC Nice
2010/2011,1,4,AS Saint-Étienne,Olympique Lyonnais
2010/2011,1,2,FC Sochaux-Montbéliard,Olympique de Marseille
2010/2011,3,0,Valenciennes FC,Stade Brestois 29
2010/2011,1,1,AJ Auxerre,AC Arles-Avignon
2010/2011,2,0,Stade Brestois 29,AS Monaco
2010/2011,2,2,SM Caen,Valenciennes FC
2010/2011,2,3,RC Lens,FC Sochaux-Montbéliard
2010/2011,5,1,FC Lorient,Girondins de Bordeaux
2010/2011,4,0,Olympique Lyonnais,AS Nancy-Lorraine
2010/2011,2,1,Olympique de Marseille,AS Saint-Étienne
2010/2011,1,0,Montpellier Hérault SC,LOSC Lille
2010/2011,0,3,OGC Nice,Paris Saint-Germain
2010/2011,1,2,Toulouse FC,Stade Rennais FC
2010/2011,1,1,AC Arles-Avignon,Stade Brestois 29
2010/2011,3,0,Girondins de Bordeaux,AJ Auxerre
2010/2011,1,1,LOSC Lille,Olympique Lyonnais
2010/2011,2,2,AS Monaco,SM Caen
2010/2011,1,2,AS Nancy-Lorraine,Olympique de Marseille
2010/2011,2,1,Paris Saint-Germain,Toulouse FC
2010/2011,2,0,Stade Rennais FC,RC Lens
2010/2011,0,2,AS Saint-Étienne,OGC Nice
2010/2011,0,0,FC Sochaux-Montbéliard,Montpellier Hérault SC
2010/2011,0,0,Valenciennes FC,FC Lorient
2010/2011,1,0,AJ Auxerre,Paris Saint-Germain
2010/2011,1,3,Stade Brestois 29,Girondins de Bordeaux
2010/2011,1,0,SM Caen,AS Saint-Étienne
2010/2011,0,0,FC Lorient,AS Nancy-Lorraine
2010/2011,5,0,Olympique Lyonnais,AC Arles-Avignon
2010/2011,1,2,Olympique de Marseille,LOSC Lille
2010/2011,0,1,Montpellier Hérault SC,Stade Rennais FC
2010/2011,0,0,OGC Nice,RC Lens
2010/2011,0,1,Toulouse FC,FC Sochaux-Montbéliard
2010/2011,0,0,Valenciennes FC,AS Monaco
2010/2011,3,3,AC Arles-Avignon,FC Lorient
2010/2011,0,1,Girondins de Bordeaux,AS Monaco
2010/2011,0,1,RC Lens,Toulouse FC
2010/2011,2,1,LOSC Lille,Valenciennes FC
2010/2011,2,0,AS Nancy-Lorraine,SM Caen
2010/2011,1,0,OGC Nice,AJ Auxerre
2010/2011,2,2,Paris Saint-Germain,Montpellier Hérault SC
2010/2011,0,2,Stade Rennais FC,Olympique de Marseille
2010/2011,2,0,AS Saint-Étienne,Stade Brestois 29
2010/2011,0,2,FC Sochaux-Montbéliard,Olympique Lyonnais
2010/2011,2,0,AJ Auxerre,FC Sochaux-Montbéliard
2010/2011,1,2,Stade Brestois 29,LOSC Lille
2010/2011,2,0,SM Caen,AC Arles-Avignon
2010/2011,0,0,FC Lorient,AS Saint-Étienne
2010/2011,1,1,Olympique Lyonnais,Stade Rennais FC
2010/2011,2,1,Olympique de Marseille,Paris Saint-Germain
2010/2011,0,1,AS Monaco,AS Nancy-Lorraine
2010/2011,1,4,Montpellier Hérault SC,RC Lens
2010/2011,1,1,Toulouse FC,OGC Nice
2010/2011,2,2,Valenciennes FC,Girondins de Bordeaux
2010/2011,0,2,AC Arles-Avignon,AS Monaco
2010/2011,0,1,RC Lens,Olympique de Marseille
2010/2011,3,1,LOSC Lille,SM Caen
2010/2011,0,0,AS Nancy-Lorraine,Girondins de Bordeaux
2010/2011,2,2,OGC Nice,Olympique Lyonnais
2010/2011,0,0,Paris Saint-Germain,FC Lorient
2010/2011,0,0,Stade Rennais FC,AJ Auxerre
2010/2011,1,1,AS Saint-Étienne,Valenciennes FC
2010/2011,2,1,FC Sochaux-Montbéliard,Stade Brestois 29
2010/2011,0,1,Toulouse FC,Montpellier Hérault SC
2010/2011,1,1,AJ Auxerre,Valenciennes FC
2010/2011,2,2,RC Lens,AS Monaco
2010/2011,1,0,Olympique Lyonnais,Stade Brestois 29
2010/2011,2,0,Olympique de Marseille,FC Lorient
2010/2011,0,0,Montpellier Hérault SC,SM Caen
2010/2011,1,1,OGC Nice,AS Nancy-Lorraine
2010/2011,1,2,Paris Saint-Germain,Girondins de Bordeaux
2010/2011,0,0,Stade Rennais FC,AS Saint-Étienne
2010/2011,0,0,FC Sochaux-Montbéliard,LOSC Lille
2010/2011,2,1,Toulouse FC,AC Arles-Avignon
2010/2011,2,2,AJ Auxerre,AS Saint-Étienne
2010/2011,0,0,Girondins de Bordeaux,AC Arles-Avignon
2010/2011,2,0,Stade Brestois 29,Stade Rennais FC
2010/2011,1,2,SM Caen,Paris Saint-Germain
2010/2011,1,1,FC Lorient,FC Sochaux-Montbéliard
2010/2011,3,0,Olympique Lyonnais,RC Lens
2010/2011,2,2,Olympique de Marseille,Toulouse FC
2010/2011,1,0,AS Monaco,LOSC Lille
2010/2011,1,1,Montpellier Hérault SC,OGC Nice
2010/2011,1,1,Valenciennes FC,AS Nancy-Lorraine
2010/2011,0,1,AC Arles-Avignon,Valenciennes FC
2010/2011,1,1,RC Lens,Stade Brestois 29
2010/2011,1,1,LOSC Lille,Girondins de Bordeaux
2010/2011,1,2,Montpellier Hérault SC,Olympique de Marseille
2010/2011,3,2,OGC Nice,AS Monaco
2010/2011,1,0,Paris Saint-Germain,Olympique Lyonnais
2010/2011,1,2,Stade Rennais FC,FC Lorient
2010/2011,2,1,AS Saint-Étienne,AS Nancy-Lorraine
2010/2011,3,2,FC Sochaux-Montbéliard,SM Caen
2010/2011,0,1,Toulouse FC,AJ Auxerre
2010/2011,1,1,AJ Auxerre,RC Lens
2010/2011,2,0,Girondins de Bordeaux,AS Saint-Étienne
2010/2011,2,2,Stade Brestois 29,Paris Saint-Germain
2010/2011,1,1,SM Caen,Toulouse FC
2010/2011,1,1,FC Lorient,LOSC Lille
2010/2011,3,2,Olympique Lyonnais,Montpellier Hérault SC
2010/2011,4,2,Olympique de Marseille,OGC Nice
2010/2011,1,0,AS Monaco,Stade Rennais FC
2010/2011,0,0,AS Nancy-Lorraine,AC Arles-Avignon
2010/2011,1,1,Valenciennes FC,FC Sochaux-Montbéliard
2010/2011,2,3,RC Lens,FC Lorient
2010/2011,5,0,LOSC Lille,AC Arles-Avignon
2010/2011,1,1,Olympique de Marseille,AJ Auxerre
2010/2011,0,0,Montpellier Hérault SC,Stade Brestois 29
2010/2011,0,4,OGC Nice,SM Caen
2010/2011,3,1,Paris Saint-Germain,Valenciennes FC
2010/2011,0,0,Stade Rennais FC,Girondins de Bordeaux
2010/2011,1,1,AS Saint-Étienne,AS Monaco
2010/2011,1,0,FC Sochaux-Montbéliard,AS Nancy-Lorraine
2010/2011,2,0,Toulouse FC,Olympique Lyonnais
2010/2011,0,1,AC Arles-Avignon,AS Saint-Étienne
2010/2011,1,0,AJ Auxerre,Montpellier Hérault SC
2010/2011,0,4,Girondins de Bordeaux,FC Sochaux-Montbéliard
2010/2011,0,0,Stade Brestois 29,OGC Nice
2010/2011,1,1,SM Caen,RC Lens
2010/2011,0,0,FC Lorient,Toulouse FC
2010/2011,3,2,Olympique Lyonnais,Olympique de Marseille
2010/2011,1,1,AS Monaco,Paris Saint-Germain
2010/2011,0,1,AS Nancy-Lorraine,LOSC Lille
2010/2011,2,0,Valenciennes FC,Stade Rennais FC
2010/2011,4,0,AJ Auxerre,Olympique Lyonnais
2010/2011,1,0,RC Lens,Girondins de Bordeaux
2010/2011,3,0,Olympique de Marseille,Stade Brestois 29
2010/2011,3,1,Montpellier Hérault SC,FC Lorient
2010/2011,3,2,OGC Nice,AC Arles-Avignon
2010/2011,2,2,Paris Saint-Germain,AS Nancy-Lorraine
2010/2011,1,1,Stade Rennais FC,SM Caen
2010/2011,1,2,AS Saint-Étienne,LOSC Lille
2010/2011,3,0,FC Sochaux-Montbéliard,AS Monaco
2010/2011,0,0,Toulouse FC,Valenciennes FC
2010/2011,1,0,AC Arles-Avignon,Toulouse FC
2010/2011,1,0,Girondins de Bordeaux,Paris Saint-Germain
2010/2011,1,1,Stade Brestois 29,Olympique Lyonnais
2010/2011,2,0,SM Caen,Montpellier Hérault SC
2010/2011,1,0,LOSC Lille,FC Sochaux-Montbéliard
2010/2011,2,2,FC Lorient,Olympique de Marseille
2010/2011,1,1,AS Monaco,RC Lens
2010/2011,3,0,AS Nancy-Lorraine,OGC Nice
2010/2011,1,2,AS Saint-Étienne,Stade Rennais FC
2010/2011,1,1,Valenciennes FC,AJ Auxerre
2010/2011,0,1,AJ Auxerre,Stade Brestois 29
2010/2011,0,1,RC Lens,AC Arles-Avignon
2010/2011,0,0,Olympique Lyonnais,SM Caen
2010/2011,2,2,Olympique de Marseille,Valenciennes FC
2010/2011,0,1,Montpellier Hérault SC,AS Monaco
2010/2011,2,0,OGC Nice,FC Lorient
2010/2011,2,2,Paris Saint-Germain,LOSC Lille
2010/2011,0,2,Stade Rennais FC,AS Nancy-Lorraine
2010/2011,2,1,FC Sochaux-Montbéliard,AS Saint-Étienne
2010/2011,2,0,Toulouse FC,Girondins de Bordeaux
2010/2011,1,3,AC Arles-Avignon,FC Sochaux-Montbéliard
2010/2011,2,0,Girondins de Bordeaux,Montpellier Hérault SC
2010/2011,0,2,Stade Brestois 29,Toulouse FC
2010/2011,2,2,SM Caen,Olympique de Marseille
2010/2011,3,2,LOSC Lille,Stade Rennais FC
2010/2011,1,2,FC Lorient,AJ Auxerre
2010/2011,0,2,AS Monaco,Olympique Lyonnais
2010/2011,4,0,AS Nancy-Lorraine,RC Lens
2010/2011,1,1,AS Saint-Étienne,Paris Saint-Germain
2010/2011,2,1,Valenciennes FC,OGC Nice
2010/2011,0,1,AC Arles-Avignon,Stade Rennais FC
2010/2011,1,1,Girondins de Bordeaux,Olympique de Marseille
2010/2011,0,2,SM Caen,Stade Brestois 29
2010/2011,1,1,LOSC Lille,OGC Nice
2010/2011,2,0,FC Lorient,Olympique Lyonnais
2010/2011,2,0,AS Monaco,AJ Auxerre
2010/2011,0,2,AS Nancy-Lorraine,Toulouse FC
2010/2011,3,1,AS Saint-Étienne,RC Lens
2010/2011,3,1,FC Sochaux-Montbéliard,Paris Saint-Germain
2010/2011,0,1,Valenciennes FC,Montpellier Hérault SC
2010/2011,1,1,AJ Auxerre,SM Caen
2010/2011,0,0,Stade Brestois 29,FC Lorient
2010/2011,1,4,RC Lens,LOSC Lille
2010/2011,1,1,Olympique Lyonnais,Valenciennes FC
2010/2011,2,2,Olympique de Marseille,AS Monaco
2010/2011,1,2,Montpellier Hérault SC,AS Nancy-Lorraine
2010/2011,2,1,OGC Nice,Girondins de Bordeaux
2010/2011,4,0,Paris Saint-Germain,AC Arles-Avignon
2010/2011,2,1,Stade Rennais FC,FC Sochaux-Montbéliard
2010/2011,0,1,Toulouse FC,AS Saint-Étienne
2010/2011,0,3,AC Arles-Avignon,Olympique de Marseille
2010/2011,2,0,Girondins de Bordeaux,Olympique Lyonnais
2010/2011,1,0,LOSC Lille,AJ Auxerre
2010/2011,0,1,FC Lorient,SM Caen
2010/2011,0,0,AS Monaco,Toulouse FC
2010/2011,0,2,AS Nancy-Lorraine,Stade Brestois 29
2010/2011,0,0,Paris Saint-Germain,Stade Rennais FC
2010/2011,3,0,AS Saint-Étienne,Montpellier Hérault SC
2010/2011,4,0,FC Sochaux-Montbéliard,OGC Nice
2010/2011,1,1,Valenciennes FC,RC Lens
2010/2011,2,2,AJ Auxerre,AS Nancy-Lorraine
2010/2011,1,0,Stade Brestois 29,Valenciennes FC
2010/2011,0,0,SM Caen,Girondins de Bordeaux
2010/2011,0,2,RC Lens,Paris Saint-Germain
2010/2011,2,1,FC Lorient,AS Monaco
2010/2011,0,1,Olympique Lyonnais,AS Saint-Étienne
2010/2011,2,1,Olympique de Marseille,FC Sochaux-Montbéliard
2010/2011,3,1,Montpellier Hérault SC,AC Arles-Avignon
2010/2011,1,2,OGC Nice,Stade Rennais FC
2010/2011,1,1,Toulouse FC,LOSC Lille
2010/2011,0,4,AC Arles-Avignon,AJ Auxerre
2010/2011,1,0,Girondins de Bordeaux,FC Lorient
2010/2011,3,1,LOSC Lille,Montpellier Hérault SC
2010/2011,0,1,AS Monaco,Stade Brestois 29
2010/2011,2,3,AS Nancy-Lorraine,Olympique Lyonnais
2010/2011,0,0,Paris Saint-Germain,OGC Nice
2010/2011,3,1,Stade Rennais FC,Toulouse FC
2010/2011,1,1,AS Saint-Étienne,Olympique de Marseille
2010/2011,3,0,FC Sochaux-Montbéliard,RC Lens
2010/2011,2,1,Valenciennes FC,SM Caen
2010/2011,0,1,AJ Auxerre,Girondins de Bordeaux
2010/2011,0,0,Stade Brestois 29,AC Arles-Avignon
2010/2011,0,0,SM Caen,AS Monaco
2010/2011,0,0,RC Lens,Stade Rennais FC
2010/2011,2,1,FC Lorient,Valenciennes FC
2010/2011,3,1,Olympique Lyonnais,LOSC Lille
2010/2011,1,0,Olympique de Marseille,AS Nancy-Lorraine
2010/2011,2,0,Montpellier Hérault SC,FC Sochaux-Montbéliard
2010/2011,2,1,OGC Nice,AS Saint-Étienne
2010/2011,0,2,Toulouse FC,Paris Saint-Germain
2011/2012,0,2,AC Ajaccio,Toulouse FC
2011/2012,1,2,Girondins de Bordeaux,AS Saint-Étienne
2011/2012,2,2,Stade Brestois 29,Évian Thonon Gaillard FC
2011/2012,1,0,SM Caen,Valenciennes FC
2011/2012,1,5,Dijon FCO,Stade Rennais FC
2011/2012,2,2,Olympique de Marseille,FC Sochaux-Montbéliard
2011/2012,3,1,Montpellier Hérault SC,AJ Auxerre
2011/2012,1,1,AS Nancy-Lorraine,LOSC Lille
2011/2012,1,3,OGC Nice,Olympique Lyonnais
2011/2012,0,1,Paris Saint-Germain,FC Lorient
2011/2012,1,3,AC Ajaccio,Paris Saint-Germain
2011/2012,1,3,AJ Auxerre,LOSC Lille
2011/2012,1,1,Stade Brestois 29,SM Caen
2011/2012,1,2,Évian Thonon Gaillard FC,AS Saint-Étienne
2011/2012,3,1,Olympique Lyonnais,AS Nancy-Lorraine
2011/2012,5,3,Montpellier Hérault SC,Dijon FCO
2011/2012,3,0,OGC Nice,Girondins de Bordeaux
2011/2012,2,0,Stade Rennais FC,FC Lorient
2011/2012,0,0,Toulouse FC,Olympique de Marseille
2011/2012,3,0,Valenciennes FC,FC Sochaux-Montbéliard
2011/2012,0,1,AJ Auxerre,Stade Rennais FC
2011/2012,1,1,Girondins de Bordeaux,Stade Brestois 29
2011/2012,1,3,SM Caen,Montpellier Hérault SC
2011/2012,3,1,LOSC Lille,Olympique Lyonnais
2011/2012,0,0,FC Lorient,Toulouse FC
2011/2012,2,0,Olympique de Marseille,AC Ajaccio
2011/2012,1,0,AS Nancy-Lorraine,OGC Nice
2011/2012,2,0,Paris Saint-Germain,Dijon FCO
2011/2012,1,0,AS Saint-Étienne,Valenciennes FC
2011/2012,1,1,FC Sochaux-Montbéliard,Évian Thonon Gaillard FC
2011/2012,0,2,AC Ajaccio,Girondins de Bordeaux
2011/2012,3,1,Stade Brestois 29,FC Lorient
2011/2012,2,3,Dijon FCO,Olympique de Marseille
2011/2012,3,1,Évian Thonon Gaillard FC,AJ Auxerre
2011/2012,2,0,Olympique Lyonnais,AS Saint-Étienne
2011/2012,2,0,Montpellier Hérault SC,AS Nancy-Lorraine
2011/2012,1,1,OGC Nice,FC Sochaux-Montbéliard
2011/2012,4,2,Paris Saint-Germain,SM Caen
2011/2012,1,0,Toulouse FC,Stade Rennais FC
2011/2012,0,0,Valenciennes FC,LOSC Lille
2011/2012,2,0,AJ Auxerre,Toulouse FC
2011/2012,1,1,Girondins de Bordeaux,Paris Saint-Germain
2011/2012,3,0,SM Caen,Dijon FCO
2011/2012,1,1,LOSC Lille,Évian Thonon Gaillard FC
2011/2012,2,0,FC Lorient,AC Ajaccio
2011/2012,2,0,Olympique de Marseille,OGC Nice
2011/2012,2,1,AS Nancy-Lorraine,Stade Brestois 29
2011/2012,1,1,Stade Rennais FC,Valenciennes FC
2011/2012,1,1,AS Saint-Étienne,Montpellier Hérault SC
2011/2012,2,1,FC Sochaux-Montbéliard,Olympique Lyonnais
2011/2012,2,2,AC Ajaccio,SM Caen
2011/2012,2,0,Stade Brestois 29,FC Sochaux-Montbéliard
2011/2012,2,0,Dijon FCO,Girondins de Bordeaux
2011/2012,2,1,Évian Thonon Gaillard FC,FC Lorient
2011/2012,1,2,Olympique Lyonnais,Stade Rennais FC
2011/2012,1,0,Montpellier Hérault SC,Olympique de Marseille
2011/2012,0,2,OGC Nice,AS Saint-Étienne
2011/2012,0,1,Paris Saint-Germain,AS Nancy-Lorraine
2011/2012,0,0,Toulouse FC,LOSC Lille
2011/2012,2,1,Valenciennes FC,AJ Auxerre
2011/2012,0,3,AJ Auxerre,Olympique Lyonnais
2011/2012,2,0,Girondins de Bordeaux,SM Caen
2011/2012,2,0,LOSC Lille,Stade Brestois 29
2011/2012,1,0,FC Lorient,OGC Nice
2011/2012,3,0,Olympique de Marseille,Paris Saint-Germain
2011/2012,1,2,AS Nancy-Lorraine,Dijon FCO
2011/2012,3,2,Stade Rennais FC,Évian Thonon Gaillard FC
2011/2012,3,1,AS Saint-Étienne,AC Ajaccio
2011/2012,1,3,FC Sochaux-Montbéliard,Montpellier Hérault SC
2011/2012,2,0,Toulouse FC,Valenciennes FC
2011/2012,2,3,AC Ajaccio,LOSC Lille
2011/2012,2,0,Girondins de Bordeaux,AS Nancy-Lorraine
2011/2012,2,2,Stade Brestois 29,AS Saint-Étienne
2011/2012,1,2,SM Caen,Olympique de Marseille
2011/2012,0,0,Dijon FCO,FC Sochaux-Montbéliard
2011/2012,2,1,Évian Thonon Gaillard FC,Valenciennes FC
2011/2012,3,2,Olympique Lyonnais,Toulouse FC
2011/2012,4,0,Montpellier Hérault SC,FC Lorient
2011/2012,2,0,OGC Nice,Stade Rennais FC
2011/2012,3,2,Paris Saint-Germain,AJ Auxerre
2011/2012,2,1,AJ Auxerre,OGC Nice
2011/2012,2,0,LOSC Lille,Dijon FCO
2011/2012,0,1,FC Lorient,Olympique Lyonnais
2011/2012,0,0,Olympique de Marseille,Girondins de Bordeaux
2011/2012,2,2,AS Nancy-Lorraine,AC Ajaccio
2011/2012,1,1,Stade Rennais FC,Stade Brestois 29
2011/2012,2,0,AS Saint-Étienne,SM Caen
2011/2012,0,1,FC Sochaux-Montbéliard,Paris Saint-Germain
2011/2012,2,1,Toulouse FC,Évian Thonon Gaillard FC
2011/2012,1,0,Valenciennes FC,Montpellier Hérault SC
2011/2012,1,0,AC Ajaccio,Stade Rennais FC
2011/2012,1,0,Girondins de Bordeaux,FC Sochaux-Montbéliard
2011/2012,1,0,Stade Brestois 29,AJ Auxerre
2011/2012,1,2,SM Caen,AS Nancy-Lorraine
2011/2012,1,2,Dijon FCO,AS Saint-Étienne
2011/2012,2,1,Olympique Lyonnais,Évian Thonon Gaillard FC
2011/2012,2,1,Olympique de Marseille,FC Lorient
2011/2012,1,1,Montpellier Hérault SC,Toulouse FC
2011/2012,2,0,OGC Nice,Valenciennes FC
2011/2012,0,0,Paris Saint-Germain,LOSC Lille
2011/2012,2,2,AJ Auxerre,Dijon FCO
2011/2012,4,2,Évian Thonon Gaillard FC,Montpellier Hérault SC
2011/2012,4,4,LOSC Lille,OGC Nice
2011/2012,0,0,FC Lorient,SM Caen
2011/2012,1,3,AS Nancy-Lorraine,Olympique de Marseille
2011/2012,1,0,Stade Rennais FC,Girondins de Bordeaux
2011/2012,0,1,AS Saint-Étienne,Paris Saint-Germain
2011/2012,0,2,FC Sochaux-Montbéliard,AC Ajaccio
2011/2012,0,0,Toulouse FC,Stade Brestois 29
2011/2012,1,0,Valenciennes FC,Olympique Lyonnais
2011/2012,2,2,AJ Auxerre,Olympique de Marseille
2011/2012,1,0,Évian Thonon Gaillard FC,OGC Nice
2011/2012,0,1,LOSC Lille,Montpellier Hérault SC
2011/2012,1,1,FC Lorient,Girondins de Bordeaux
2011/2012,1,1,Olympique Lyonnais,AC Ajaccio
2011/2012,1,1,Stade Rennais FC,Paris Saint-Germain
2011/2012,1,0,AS Saint-Étienne,AS Nancy-Lorraine
2011/2012,1,2,FC Sochaux-Montbéliard,SM Caen
2011/2012,2,0,Toulouse FC,Dijon FCO
2011/2012,0,0,Valenciennes FC,Stade Brestois 29
2011/2012,2,1,AC Ajaccio,AJ Auxerre
2011/2012,2,1,Girondins de Bordeaux,Valenciennes FC
2011/2012,1,0,Stade Brestois 29,OGC Nice
2011/2012,0,2,SM Caen,Stade Rennais FC
2011/2012,3,1,Dijon FCO,Évian Thonon Gaillard FC
2011/2012,2,0,Olympique de Marseille,LOSC Lille
2011/2012,1,0,Montpellier Hérault SC,Olympique Lyonnais
2011/2012,2,2,AS Nancy-Lorraine,FC Lorient
2011/2012,3,1,Paris Saint-Germain,Toulouse FC
2011/2012,1,0,AS Saint-Étienne,FC Sochaux-Montbéliard
2011/2012,1,3,AJ Auxerre,AS Nancy-Lorraine
2011/2012,0,1,Stade Brestois 29,Paris Saint-Germain
2011/2012,0,0,Évian Thonon Gaillard FC,Girondins de Bordeaux
2011/2012,3,0,LOSC Lille,AS Saint-Étienne
2011/2012,1,1,FC Lorient,FC Sochaux-Montbéliard
2011/2012,3,1,Olympique Lyonnais,Dijon FCO
2011/2012,0,1,OGC Nice,Montpellier Hérault SC
2011/2012,1,2,Stade Rennais FC,Olympique de Marseille
2011/2012,1,0,Toulouse FC,SM Caen
2011/2012,1,2,Valenciennes FC,AC Ajaccio
2011/2012,1,1,AC Ajaccio,OGC Nice
2011/2012,2,0,Girondins de Bordeaux,Toulouse FC
2011/2012,2,1,SM Caen,AJ Auxerre
2011/2012,1,2,Dijon FCO,Valenciennes FC
2011/2012,2,2,Olympique de Marseille,Olympique Lyonnais
2011/2012,1,0,Montpellier Hérault SC,Stade Brestois 29
2011/2012,0,0,AS Nancy-Lorraine,Stade Rennais FC
2011/2012,3,1,Paris Saint-Germain,Évian Thonon Gaillard FC
2011/2012,4,2,AS Saint-Étienne,FC Lorient
2011/2012,0,1,FC Sochaux-Montbéliard,LOSC Lille
2011/2012,1,1,AJ Auxerre,FC Lorient
2011/2012,1,1,Stade Brestois 29,Dijon FCO
2011/2012,2,0,Évian Thonon Gaillard FC,Olympique de Marseille
2011/2012,4,5,LOSC Lille,Girondins de Bordeaux
2011/2012,1,2,Olympique Lyonnais,SM Caen
2011/2012,3,0,Montpellier Hérault SC,AC Ajaccio
2011/2012,0,0,OGC Nice,Paris Saint-Germain
2011/2012,1,0,Stade Rennais FC,FC Sochaux-Montbéliard
2011/2012,0,1,Toulouse FC,AS Saint-Étienne
2011/2012,1,0,Valenciennes FC,AS Nancy-Lorraine
2011/2012,0,0,AC Ajaccio,Stade Brestois 29
2011/2012,1,0,Girondins de Bordeaux,Olympique Lyonnais
2011/2012,2,2,SM Caen,Évian Thonon Gaillard FC
2011/2012,3,0,Dijon FCO,OGC Nice
2011/2012,0,1,FC Lorient,LOSC Lille
2011/2012,1,1,Olympique de Marseille,Valenciennes FC
2011/2012,0,3,AS Nancy-Lorraine,Toulouse FC
2011/2012,2,2,Paris Saint-Germain,Montpellier Hérault SC
2011/2012,4,0,AS Saint-Étienne,Stade Rennais FC
2011/2012,0,0,FC Sochaux-Montbéliard,AJ Auxerre
2011/2012,2,1,AC Ajaccio,Dijon FCO
2011/2012,0,0,AJ Auxerre,AS Saint-Étienne
2011/2012,1,0,Stade Brestois 29,Olympique de Marseille
2011/2012,2,0,Évian Thonon Gaillard FC,AS Nancy-Lorraine
2011/2012,4,4,Olympique Lyonnais,Paris Saint-Germain
2011/2012,1,0,Montpellier Hérault SC,Girondins de Bordeaux
2011/2012,1,0,OGC Nice,SM Caen
2011/2012,1,1,Stade Rennais FC,LOSC Lille
2011/2012,2,0,Toulouse FC,FC Sochaux-Montbéliard
2011/2012,2,0,Valenciennes FC,FC Lorient
2011/2012,1,2,Girondins de Bordeaux,OGC Nice
2011/2012,0,0,SM Caen,Stade Brestois 29
